TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-568.535,1.43766,13.1212,4.36906,0.815454,0.277055,-0.452941,0.0256477,-0.723965,2.13591,-3.66151,-3.62226,3.85283,4.0286,-0.257792,-2.05601,1.9679,0.982074,2.17657,-0.815527,0.472574
0.023219955,-458.53,-14.8074,10.3714,5.20594,3.95717,3.70519,2.94458,1.35997,1.98364,7.13888,3.658,0.839888,1.62098,2.45679,0.0273074,-0.61344,1.42132,3.37583,2.12361,0.480966,-1.53544
0.046439909,-454.906,-14.815,8.58704,3.99575,2.01868,5.0009,2.40267,4.33082,5.24814,4.11502,3.11943,3.88559,0.991413,-0.167611,-0.537861,3.91746,4.36952,2.35853,-0.102414,0.159415,-1.98903
0.069659864,-477.065,-11.8388,14.7196,7.55599,0.0995725,1.09923,1.38259,4.75546,2.40381,4.42096,4.66489,4.99934,4.28476,1.25092,0.119736,-2.98531,-3.92746,-1.93621,1.89008,0.731654,-0.548875
0.092879819,-478.159,-12.0199,16.9451,7.6455,2.35303,4.07425,3.54032,6.03018,2.6426,3.47797,-2.21815,0.524822,5.51979,2.44427,-0.623961,-1.05515,0.202908,-0.959548,2.2026,3.3483,1.6126
0.116099773,-469.03,-18.8897,14.1144,5.37032,0.458395,0.127047,-1.59638,4.9141,5.1463,5.03261,2.06233,2.87977,2.26035,0.0588356,-0.444869,1.03375,3.23608,4.36382,2.54747,1.43211,1.05406
0.139319728,-478.718,-10.5471,17.6996,11.9746,5.39545,2.01711,-2.29473,2.77128,0.205618,5.69349,3.97666,2.28542,4.12918,0.343414,0.12676,-2.24589,-0.122868,0.919491,4.46576,0.785831,-0.273904
0.162539683,-479.88,-15.85,12.7051,13.0637,4.85858,2.0719,-1.91922,1.3797,3.35089,6.75354,2.83391,3.14791,0.958297,-0.59428,0.156413,1.22422,2.02768,4.78864,1.84832,1.55209,1.39343
0.185759637,-484.715,-11.4913,17.2415,8.12297,3.23437,0.707859,-2.98521,4.65971,3.24458,11.0234,1.92872,-0.894098,2.60209,1.96595,1.64738,2.73076,1.51761,3.39415,3.90482,-1.53921,4.52909
0.208979592,-471.226,-12.2715,12.1399,2.5568,-0.315603,7.31057,2.80619,2.03292,3.30642,2.96204,1.75479,-0.815069,0.0867166,1.6348,1.67969,1.23292,3.44129,0.530666,4.03107,2.64472,2.28566
0.232199546,-479.52,-16.6221,11.578,2.76715,-0.416505,7.21277,5.71895,3.93082,1.10244,3.27315,3.06315,5.8747,0.692783,-1.32679,0.90832,3.47589,5.57179,3.92539,1.12763,-2.29974,0.62075
0.255419501,-484.835,-11.3123,15.6887,10.8789,3.64637,2.31577,-2.86993,4.41098,5.20737,5.08203,1.0386,4.55918,3.80126,-0.911064,-0.807398,0.500115,0.505406,-1.60422,1.94796,0.163174,-0.915938
0.278639456,-490.1,-21.231,15.4975,7.9208,4.3782,5.91649,4.24101,0.458847,-2.84604,2.47726,2.45925,2.82926,0.906893,-0.477023,1.95396,4.24291,6.64363,2.15803,1.28738,3.12211,0.529222
